scenario_id,scenario,config,rainfall_mm,duration_h,pattern,peak_flooded_pct,peak_flooded_ha,peak_depth_mm,peak_river_pct,overflow_min,rain_at_overflow,final_flooded_pct,final_depth_mm,wall_cells,canal_cells,basin_cells,road_cells,num_frames,wallclock_s
1,Light Rain,Baseline,15,2.0,uniform,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0,0,0,6,0.0
1,Light Rain,Wall+Canal,15,2.0,uniform,0.0,0.0,0.3,0.0,,,0.0,0.3,158,204,0,0,6,0.1
1,Light Rain,Full Prevention,15,2.0,uniform,0.0,0.0,0.6,0.0,,,0.0,0.6,227,204,182,169,6,0.1
1,Light Rain,Large Prevention,15,2.0,uniform,0.0,0.0,0.3,0.0,,,0.0,0.3,292,204,182,169,6,0.1
2,Moderate Rain,Baseline,36,3.0,progressive,21.43,69.94,214.2,21.17,160,30.8,21.43,214.2,0,0,0,0,9,0.1
2,Moderate Rain,Wall+Canal,36,3.0,progressive,16.36,53.42,217.0,16.19,160,30.8,16.36,217.0,158,204,0,0,9,0.1
2,Moderate Rain,Full Prevention,36,3.0,progressive,14.15,46.19,218.0,13.98,160,30.8,14.15,218.0,227,204,182,169,9,0.1
2,Moderate Rain,Large Prevention,36,3.0,progressive,12.65,41.31,217.0,12.74,160,30.8,12.65,217.0,292,204,182,169,9,0.1
3,Heavy Rain,Baseline,90,4.0,progressive,39.09,127.58,1344.7,34.83,120,31.6,39.09,1344.7,0,0,0,0,12,0.1
3,Heavy Rain,Wall+Canal,90,4.0,progressive,33.68,109.93,1431.1,28.65,120,31.6,33.68,1431.1,158,204,0,0,12,0.1
3,Heavy Rain,Full Prevention,90,4.0,progressive,30.89,100.83,1471.7,25.11,120,31.6,30.89,1471.7,227,204,182,169,12,0.1
3,Heavy Rain,Large Prevention,90,4.0,progressive,28.73,93.79,1438.0,23.76,120,31.6,28.73,1438.0,292,204,182,169,12,0.1
4,Typhoon Signal 1 (Tropical Depression),Baseline,150,8.0,progressive,44.92,146.64,3001.6,39.83,160,30.1,44.92,3001.6,0,0,0,0,24,0.2
4,Typhoon Signal 1 (Tropical Depression),Wall+Canal,150,8.0,progressive,42.45,138.57,3241.0,36.09,160,30.1,42.45,3241.0,158,204,0,0,24,0.2
4,Typhoon Signal 1 (Tropical Depression),Full Prevention,150,8.0,progressive,39.98,130.49,3258.8,32.7,160,30.1,39.98,3258.8,227,204,182,169,24,0.3
4,Typhoon Signal 1 (Tropical Depression),Large Prevention,150,8.0,progressive,37.91,123.74,3243.6,31.35,160,30.1,37.91,3243.6,292,204,182,169,24,0.3
5,Typhoon Signal 2 (Tropical Storm),Baseline,250,12.0,burst,49.7,162.23,3315.3,46.33,180,34.4,49.3,3279.0,0,0,0,0,36,0.3
5,Typhoon Signal 2 (Tropical Storm),Wall+Canal,250,12.0,burst,47.08,153.68,3666.3,42.62,180,34.4,45.87,3640.9,158,204,0,0,36,0.3
5,Typhoon Signal 2 (Tropical Storm),Full Prevention,250,12.0,burst,44.2,144.3,3738.3,38.22,180,34.4,42.74,3723.9,227,204,182,169,36,0.4
5,Typhoon Signal 2 (Tropical Storm),Large Prevention,250,12.0,burst,42.19,137.72,3680.7,36.99,180,34.4,40.58,3658.2,292,204,182,169,36,0.4
6,Typhoon Signal 3 (Severe Typhoon),Baseline,400,18.0,burst,56.46,184.29,3565.3,50.47,200,34.1,53.87,3469.1,0,0,0,0,54,0.4
6,Typhoon Signal 3 (Severe Typhoon),Wall+Canal,400,18.0,burst,53.98,176.21,3859.4,46.88,200,34.1,50.19,3800.8,158,204,0,0,54,0.5
6,Typhoon Signal 3 (Severe Typhoon),Full Prevention,400,18.0,burst,50.3,164.2,3953.2,42.34,200,34.1,46.76,3921.2,227,204,182,169,54,0.6
6,Typhoon Signal 3 (Severe Typhoon),Large Prevention,400,18.0,burst,49.12,160.35,3878.9,41.04,200,34.1,44.9,3825.3,292,204,182,169,54,0.7
